event_id,event_ts,device_id,site_id,temperature_c,battery_pct,signal_strength,alert_flag,alert_type
EVT_0005644,2024-01-09 04:39:25,DEV_0020,SITE_10,43.32,10.6,-57.2,False,
EVT_0005655,2024-01-11 22:46:37,DEV_0039,SITE_11,37.0,85.1,-38.3,False,
EVT_0009591,2024-01-10 12:29:27,DEV_0018,SITE_13,23.75,11.0,-64.1,False,
EVT_0008616,2024-01-13 08:05:54,DEV_0184,SITE_03,29.88,92.5,-61.6,False,
EVT_0008049,2024-01-12 18:39:33,DEV_0034,SITE_02,39.37,48.6,-81.6,False,
EVT_0002168,2024-01-14 04:07:01,DEV_0040,SITE_04,42.26,53.4,-38.3,False,
EVT_0009244,2024-01-14 17:50:06,DEV_0126,SITE_01,37.88,73.3,-43.2,True,motion_detected
EVT_0006890,2024-01-09 07:55:22,DEV_0120,SITE_13,34.6,7.5,-35.3,False,
EVT_0009442,2024-01-14 11:03:00,DEV_0071,SITE_03,32.23,98.3,-35.5,False,
EVT_0004899,2024-01-09 12:47:09,DEV_0076,SITE_09,37.27,53.6,-84.3,False,
EVT_0003616,2024-01-08 21:42:31,DEV_0127,SITE_08,34.36,,-49.8,False,
EVT_0010504,2024-01-11 05:40:04,DEV_0146,SITE_08,26.27,44.6,-54.8,False,
EVT_0010975,2024-01-11 07:25:17,DEV_0043,SITE_14,38.53,95.0,-81.5,False,
EVT_0008843,2024-01-14 21:04:53,DEV_0168,SITE_08,40.15,62.7,-83.3,False,
EVT_0006193,2024-01-14 14:52:37,DEV_0014,SITE_14,36.14,63.9,-51.7,False,
EVT_0004765,2024-01-12 13:59:52,DEV_0105,SITE_08,15.48,35.1,-61.0,False,
EVT_0003523,2024-01-08 21:39:57,DEV_0030,SITE_15,24.27,45.5,0.0,False,
EVT_0000555,2024-01-12 08:54:44,DEV_0149,SITE_05,42.94,90.3,-46.9,True,offline
EVT_0001651,2024-01-12 02:16:10,DEV_0192,SITE_03,22.24,,-45.6,False,
EVT_0007969,2024-01-08 21:17:45,DEV_0081,SITE_07,23.7,44.6,-38.7,False,
EVT_0006682,2024-01-14 12:35:17,DEV_0170,SITE_04,37.64,59.8,-77.7,False,
EVT_0008538,2024-01-13 18:07:13,DEV_0198,SITE_03,33.37,24.3,-82.6,False,
EVT_0004666,2024-01-13 08:57:13,DEV_0043,SITE_14,17.17,78.6,-38.4,False,
EVT_0006038,2024-01-08 17:44:56,DEV_0187,SITE_05,31.7,72.1,-31.9,False,
EVT_0004465,2024-01-09 18:03:12,DEV_0083,SITE_15,22.15,,-74.1,False,
EVT_0005779,2024-01-13 13:37:17,DEV_0134,SITE_02,43.42,7.1,-51.6,True,temp_high
